id,proposition,argument,score
ae2424e0,Caucuses should not be used in determining candidates for President in the USA.,"Caucuses are a fair way to elect officials and choose them for the primaries. 1. It is the best and most effective way to choose a candidate because it gives the party an idea of who to pick, based on the votes of delegate who are elected by the people for the people 2. There is no other way to do this as effectively at such a mass scale and magnitude as America can only present 3. The point of elections are to elect officials to speak on your behalf, if you don't like the way we have done this for centuries you are in the wrong country forfeit Well im sorry for that just lost track of time and to vote against me for that is absurd, it should just make it harder for me to win not to automatically lose at any rate to the issues 1. I'd like to start this argument by commenting on the fact that theses caucuses and primaries are for the sake of showing the parties who the most electable candidate is. Again delegates are chosen by the people and if you dont like the way your delegate votes you can vote against him in the next election for that position. Until that time caucuses are the most effective way to choose because there are less people in the precincts to tally. 2. The fact of the matter is it doesn't do the task as effectively or efficiently if you look at my arguments above. For the simple fact it gets the same job done in half the time with a more accurate count because of the delegates. 3. If the system has been working for centuries and it hasn't failed yet then it seems logical to continue on. It would be like finding a new way to walk just because we have been doing it for centuries.... good luck with that 4. This point basically goes on with the arguments made prior to this and he said it was a government for the people by the people this just fuels my arguments because delegates are elected for the people by the people. Please consider my arguments and again I apologize for my tardiness",2
3b8f1e62,Certain acts of terrorism can be justified.,"Well, since my opponent sadly does not define any terms, I will take the liberty myself. Terrorism-""The unlawful use or threat of violence esp. against the state or the public as a politically motivated means of attack or coercion."" Merriam-Webster's Dictionary of Law Just-""Guided by truth, reason, justice, and fairness."" Dictionary.com So, when dealing with whether or not something is justified, one must look to whether or not the act adheres to all aspects of justice. We now ask ourselves, is terrorism truthful, reasonable, just, or fair? --TRUTHFUL-- It is fairly obvious that terrorism is not truthful. Do terrorists ask you if it is ok to blow up your house? Or what time of day you would like them to do it? It is obviously not so. How can terrorism be truthful? Mu opponent MUST answer this to win the debate. --Reasonable-- Again I ask, do terrorists ask you if they can set a bomb off at your house? Will they anyway if you say no? Terrorism is in NO WAY reasonable to the victim. My opponent must also answer why terrorism is reasonable to win. --Just-- This is what we are debating. This can also correlate with fairness, which I will address next. --Fair-- OK, so you walk home one day, and your family has been murdered by a terrorist because of your political beliefs. Is that fair? My opponent must also answer why terrorism is fair to win the debate. I await my opponent's rebuttals. In his next speech, he must prove why terrorism is truthful, reasonable, just, and fair. If unable to do so, then surely he has lost the debate. That being said, I conclude the first round of the debate. Thank you. While my opponent does not specifically address my points, I will attempt to address his appropriately. My opponent agrees to ALL of my arguments, but then comes back by saying: ""Well, think about it! If you were..."" Nonetheless, he agrees with my definitions, and with the fact that terrorism violates the term ""just."" IT IS IN THE ETYMOLOGY! Consider the word: Terrorism. ""The unlawful use or threat of violence."" Now consider the word: Just. ""Guided by truth, reason, etc. according to the law."" Key words there-According to the law. Terrorism is against the law by definition, and therefore is, by definition, unjust. That being said, terrorism CANNOT be justified, since the words are polar opposites. Every example my opponent gives you IS STILL BREAKING THE LAW. Therefore, it is UNJUST. That goes directly against the resolution. For these reasons, I can only negate the resolution. Thank you. Well, my opponent can't seem to make up his mind. Does he agree, disagree, partway? He does not attack my case, so I can only assume that he does. Given that, I will now attack, again, his repetitive example. ""im going to finish this with the same example i have been using all the way through this debate."" ...That I have already attacked. ""if somebody supresses your freedom your right to live , you must take matters into your own hands , i dare say it at the risk of vote bombing , but whats the lifes of a 100 maybe a 1000+ comapred to the lifes and freedom of millions , the only acts of terrorism that cannot be jusistified are those that are not in the name of freedom for yourself or fellow countrymen."" OK, lets take a real-life situation here. Middle-eastern radicals feel oppressed by US presence. They want ""freedom."" They want justice for ""fellow countrymen."" What do they do? Terrorism. How is it felt by innocent bystanders? 9/11. Its that simple. Terrorism is unjust by definition. (Which my opponent did not contend) In addition, it kills innocent people in the name of ""freedom."" Was 9/11 in the name of ""freedom?"" Sure, why not. Was 9/11 just? Absolutely not. Since the resolution specifically states whether or not certain acts of terrorism can be justified, one can only negate it. Thank you.",3
12ab64a7,"Christians need to stop being offended every time someone says ""Happy Holidays"".","One of the core issues in the so-called ""War on Christmas"" is the idea that saying ""Happy Holidays"" is a way of undermining Christmas. If you are a Christian and you are offended by the use of ""Happy Holidays"" you need to realize that you're not the only one celebrating a holiday this December. People say ""Happy Holidays"" because they know others can be easily offended in today's society. Some of the easily offended include: people who think you should only give Santa milk and cookies which contain no animal products or trans-fats, people who would rather fire old white disc jockeys, for racial jokes, instead of just changing the station, and people who worry about someone saying ""Happy Holidays"" instead of ""Merry Christmas"". Businesses say ""Happy Holidays"" because they know that many of their customers are NOT Christian. Their motives are selfish (money) but they understand that ""Merry Christmas"" has the ability to offend people who don't celebrate the holiday. So instead of potentially offending, and losing, customers they play it safe and just say ""Happy Holidays"". Take a lesson from the Jews; you don't see them causing a fuss every time someone skips over ""Happy Hanukkah"". That's because they realize that not everyone celebrates Hanukkah. By the same token if someone wishes you a ""Merry Christmas"" and you happen to be Muslim (or a Scientologist) don't be offended. Be glad that someone decided to throw a little holiday spirit your way and move on with your life. Don't sue them; all you'll end up doing is giving Fox News more material for their ""War on Christmas"" segments; which are actually kind of cool because sometimes they find ways to tie the ""War on Christmas"" in with the ""War on Terrorism"". Merry Christmas I never said Christians didn't have the right to be offended; anyone has the right to take offense to anything in this society. My argument is that they should get over it. And I have every right to tell them they shouldn't be offended; it's called free speech. Just as you have the right to tell me I shouldn't tell people not to get offended. Sorry if that was confusing; I think I'm a bit confused :) As far as businesses caring more about jews, muslims etc, they don't care about those groups more than christians. Like I said it's all about pleasing everyone as best they can so they won't lose customers; it's not about treating one group better than another You're right that people should expect to be offended, and no one is free from that expectation, but Christians seem to me to be the whiniest of any specific group. Looking forward to your response. We're both right that people have the right to be offended; I'm offended by some rap music but I always exercise my right to not listen to it. People who are offended by ""Happy Holidays"" including Jews, Muslims, etc, should just be glad someone was a little nice to them and move on, just like Christians should. You're also right that ""Happy Holidays"" (used by companies to avoid offense) is actually offending Christians but that's the best solution they can come up with now; of course they could say nothing at all but it's better to say something than nothing at all. As far as Christians being the majority (as being the reason why a company should say Merry Christmas) so what? Just because they are the majority does not mean everything should be catered to them. And even though they are the majority there are still millions of other Americans who belong to another faith or no faith at; it may be the majority but the minority is a pretty big group of people. And just to clarify, I also think comapnies should be allowed to say whatever they want during the holidays.",3
095e5d54,Citizens should be able to possess handguns.,"First of all, I have a question about the way you worded the resolution. The word ""ought"" means ""to be under a moral obligation to do or be"". So what the resolution says is that citizens are morally obligated to possess handguns. Did you mean it to be like ""Citizens ought to be able to possess handguns"" or was that intended? I was just wondering. As to the debate itself, you make the assumption that just because someone has a gun, they, or someone close to them, will abuse it. Just because someone owns a gun does not necessarily mean that they will be prompted to take greater risks than they otherwise would. There are regulations that are preventative of the harms that you talk about. People who buy firearms are required to have a clean criminal record, as well as take a course in firearm safety. And if someone is bent upon causing another person harm or death, they do not need a gun to do so. There are other ways of hurting or killing people than with a handgun. If we were to apply your reasoning, owning household items such as electrical cord, cooking knives, and baseball bats are morally repugnant because they could be potential weapons. Also, many people who own handguns do so only as a measure of self-defense, in case a situation would arise in which they would need to defend themselves or their family from attack. Is denying them that protection just? Although I will admit that not everything is always used with its original intention, the purpose of citizens owning handguns is to protect them. As to harming society in general: Society is not hurt because individuals own handguns. Society is hurt by individuals. You cannot condemn the hammer because the wielder misuses it: in the same way, you cannot condemn a gun as ""bad"" because individuals choose to misuse it. You can't justify taking away a citizen's right to their own protection by saying that others will cause them harm with the same thing they use to protect themselves. Even if handguns were to be legalized, there are ways of getting around laws and regulations that people who intend to harm others will be able to access that regular citizens will not. Example: the black market. Another point: we're arguing handguns specifically. However, there are many other different types of guns. Even if handguns were to become illegal, people who seriously intend to cause damage to others have easy access to OTHER types of guns, such as rifles. All you'd need to do is walk into a hunting/sports store. So arguing that guns are empowering, thus citizens ought not carry HANDGUNS won't benefit society either way: illegalizing handguns for that reason would be pointless. Taking away a citizen's right to owning a handgun will not decrease the potential for crime - it will decrease the potential for defense against crime. Society will be harmed, not helped. You argue that children could potentially get into the guns, or even other people. That is a nonunique arguement. That reasoning could be applicable to any dangerous item in a house, and is not proper justification for the illegalization of a handgun. Lighters were originally intended to do just that: to light. However, they were used as a means of torture by gangs, and the potential for danger when using a lighter is high. However, they are sold over-the-counter. Say a child finds a lighter on a table and accidentally severely burns himself. Should lighters then be illegalized? I think there's another important point to bring up: When a government tells it's citizens that they have no right to carry arms, to protect themselves, and going against its own Constitution in doing so, what message does that send to the citizens? When a government does not adhere to its own laws then its citizens cannot be expected to do the same, which could potentially send us into a state of either anarchy or tyranny. From history we know that anarchy leads to violent revolution, and tyranny leads to death and governmental abuse, and as we're valuing societal welfare in this debate, we cannot take away that right to bear arms because the society will always be harmed.",5
22ce5305,Clarence Thomas isn't fit to be on the Supreme Court.,"You seem to have no actual accusations towards Mr. Thomas that would justify his removal as a Justice, rather, your arguments seem to be more of personal attacks. You state that he does not follow Stare Decisis, but that is not a crime, the fact that he does not show that he has done anything wrong, but rather that he looks at cases individually, regardless of past experience. You put your word up against his by stating, ""Affirmative Action used to get into Yale"" but you have no proof other than that he is African American, and got into Yale during an affirmative action campaign, but you go further stating that ""he really wasn't qualified to get into Yale Law"", but he is said to have excelled academically in high school, and in 1971 he graduated 9th in his class with an english honors degree, you have not shown in any way that he wasn't qualified for Yale, nor have you shown that he was accepted purely because of Affirmative Action, all you have done is made assumptions, and personal attacks against Mr. Thomas. You also question him because he is a minority, within a minority, I don't see how this is at all relevant to his effectiveness, or ineffectiveness. It seems to me as though, if 90% of African Americans voted for democrats, but he was a republican, that he was obviously influentially, with whites too, which I see as a great accomplishment. And to answer your final question, who are you to say that he is incapable of doing his job because he doesn't ask questions? Unless you have proof that his lack of questions hinders his ability to do his job, this can only be seen as another one of your personal attacks, and assumptions. First off, I was mistaken on saying that you didn't know that he was African American, I meant to say, that you don't know, nor do you have proof, that he got into Yale because of Affirmative Action. You have also changed to saying that ""He shouldn't have been appointed"" rather than sticking to the Resolution, which is ""Clarence Thomas isn't fit to be on the Supreme Court"" stating that he shouldn't be on the supreme court now. You have only brought up evidence that certain people don't like him, but NOTHING that shows he has done something wrong. You make the fact that he scored 415 on the Segal-Cover sound like a bad thing, which is misleading, the Segal-Cover simply shows if someone is liberal or conservative. Can we really say that he is not fit to be a justice because his opinion isn't the same as Scalia? You also seem to be running Stare-Decisis into the ground, but that isn't a law, and just because most lawyers follow it, doesn't mean that every one should follow it. You have also stated that he was not supported by the ABA, but you failed to mention that the ABA is just a volunteer association. From what I have learned, I believe that Mr. Thomas is fully capable of doing his job as a justice, and that your attacks were misleading, and nothing more than personal attacks against the him.",4
bf13d63c,"Conservatives should be catagorized as ""Back Woods"".","Wrong. I am Conservative and I am not even close to back woods. Actually, you could say that I'm the complete opposite. I am much closer to a city person than back woods. I am not back woods at all. In fact, I would like to move into a big city and get out of the back woods of southern Indiana. Ed Bassmaster? Who the heck is that? And when you use a source, make it credible. Yours doesn't even have any evidence, much less credibility. And the point about making decisions based on just being what the GOP says is right is not true. I could be categorized as liberal in a few areas, mostly education. And Conservatives aren't racist. If we were racist, why did a lot of Conservatives like Herman Cain? And I am not a hick, but I have nothing wrong with them. Most of my family in West Virginia could be classified as hicks or back woods, but I am not, and I am a Conservative. Therefore, your claim is wrong. My room for argument is that I am Conservative and am not back woods. I don't know why you say that I am not white, because I am, but I'm not racist at all. Yes, of course I read the link. It had nothing to do with anything. I don't get where you are saying that all Conservatives are racist and back woods. And of course we are biased. EVERY political party is biased to their own beliefs. No offense, but you may be the worst debater I have seen on here.",1
6f1734f4,Democracy is a flawed system.,"You have obtained my curiosity. I may not be able to answer tomorrow since I am going on a trip to a place that does not know the beauty that is wifi. But I believe you must have an amazing argument, one that I desire to challenge. Have at you, Justice! (And if you are Justice, will you at some point do the Judge Dredd I AM THE LAW shout?) Duncan. (Yes, I sign each argument. Don't judge me.) Oh ho, I see your idea, and I do not fear your trap of a title. You see, demo-cracy, control by the people, is the most fair and representational system available. If you are from America, I can see why you would argue this, but in Ireland, we use proportional representation as our system. It means that you have several votes. If you vote for Adam, and he comes last in the election, then your vote goes to the second preference. And so forth. In Northern Ireland, our neighbour (unless you ask our republicans) they have a system by which even if the Protestant Community were to claim a majority, they would still have to share power with the Catholic and Presbyterian minorities, as well as any others that claim to be discriminated. You see, democracy itself is not flawed, but neither is Communism. The problem is human nature. Human nature is flawed so that people put in a position of power will abuse it, and without an authority figure few see a desire to follow society if their desires are not met by the powers that be. It is not the idea, but the enforcement, that is the problem. Awaiting your response, Duncan. The problem most often with democracy is the position of power and the selfishness of people. We have built a system by which elected leader serve for a specific length of time. If no one likes Cameron, it's too bad, because you have to wait for the next election. This is an improper system of democracy as there is no way to remove him early, but this is not a flaw with the idea of people choosing a leader, in the same way that if you have a cake recipe and you don't follow it fully and end up burning the cake, that is not a flaw with the recipe, rather with your excecution of the method given. The nature of power is corruptive, and not enough measures are in place to prevent that, but that is not democracy's flaw, it is our lack of control, our nature, that is the problem. Communism, the idea of all working for the same pay to better society falls apart when a doctor no longer appreciates the idea that the binman gets the same wage. (And he'll be angry if his bins aren't collected either) this isn't a flaw with being generous, rather the doctor at hand unnappreciative of the concept of altruism. (unfair of me to pick doctor, as doctors are often altruistic, ok, solicitors) Awaiting your response, Duncan. Since the Cameron example has been going well so far, I'd like to point out another way the analogy of cake mix works. If you get a Cameron flavored cake, and you hate the taste of it, throw it out, you don't have to eat it. You have a problem with the current election and rule system that Britain follows, but that is not to do with the idea of choosing a leader, because a true democracy would hold a new election and elect someone else. Human laziness and greed is the cause of most porblems in the world; people abuse their power, and those who could stop them stand idly by. This is not a flaw with Democracy. It's a problem with Britain. Awaiting your response, Duncan. The leader elected would step down when the people felt that he was no longer fufilling the promises he had made. If people are unsatisfied with Cameron, they obviously don't hate him enough to march on Parliament and demand his recognition. Rather, this disapproval stems from impatience and annoyance that the PM is not fufilling their personal desires. I refer to Augusto Pinochet's facist regime in Chile in the 80s, where when the elections finally came, many were fine with him because they did not suffer from any injustice at his hands. Society is a constant battle for every individual, between the things they give up (taxes, laws) and the things they get in return (social security, public works) To say that human nature must be flawless for a system to be flawless is a ridiculous conception. I too, have enjoyed this debate, Duncan.",2
b52fc33b,Democracy is better than absolute monarchy.,"In this debate I will argue that democracy is better than absolute monarchy. First round goes for acceptance. Absolute monarchy is the one of, if not, the oldest form of government. It is also the most evil form of government around. Reason being that in an absolute monarchy, the monarchs doesn't have to answer to anyone but God. Also an absolute monarchy involved the classic notion of claiming to know what's best for the people. In an absolute monarchy, it is also elitist as well. Anyone who disagrees with the religion in a country that has one of these monarchs, gets killed. People who live in this type of countries have to live in terror day and night. Charles I is a good example of absolute monarchy at its worst. It got so bad that the English finally rose up and executed him. And there is no term limit either, which means that the monarch is there for life. Also slavery was very common in absolute monarchies. While America had slavery for a long time, where did they inherit it from? The English who colonized Americas, when it was an absolute monarchy. Denmark and Sweden were also absolute monarchies when they had slavery. In a democracy, there is fairness for all, especially in a republican form of government. People have a say in their government. People are voted, not appointed as in a absolute monarchy. Just look at Saudi Arabia, and ask the people who live there if they're happy with their absolute monarchy, who causes the people who disagree to live in terror day and night.",2
a31a106d,Democrats do not have what it takes to halt terrorism in the United States of America.,"Hello. To begin, I am conservative. I am really conservative. I do not want a democrat to win the election. However, I do not like people saying liberals are bad people (except for me of course) So this is why a liberal can stop terrorism liberal is defined by Websters as a political philosophy associated with change. So when you use liberal in this sense, anyone who is striving for change is a liberal. Using this definition, here is why a liberal can halt terrorism 1. change is needed Iraq is in shambles. Terrorism has NOT been stopped. We need a new plan. The current war, I support, but we are going about it the completely wrong way. Either follow more peaceful attempts, or go, as my history teacher said, ""world war 2 on them."" We need a stricter stance against terrorism that we do not have. So any change can better halt terrorism. I am assuming that you did not know (because I did not know until I looked it up) that liberal meant change. So I am assuming you meant liberal as in the democratic party? If so, here is why a democratic candidate can halt terrorism 2. U S A!!! Whoever wins the election has control of the greatest army in the world. Any chance that a republican has at ending terrorism, a democrat has. But democrats have an advantage. Congress is held by the democratic party. Imagine if all of America was behind ending terrorism the democrats way! There would be incredible force in every action 3. Plans This is a cynical way of looking at it, but democrats could end terrorism Scenario A: Obama is president. He withdraws from Iraq. This is bad. Terrorism goes un-punished. America is attacked again. Obama must do something. He brings the war back to the enemy, with support of Congress and the people. Vietnam was called the only war America did not win. Why? Because the people did not support it. If we have renewed support to stop terrorism, why might do something. Ok so are definitions of liberal differ. But my points, I believe, stand. We need change, or a new broad stance on our foreign relations in regards to terrorism. We are fighting terrorism in Iraq. That is the worst place. Try Iran or Afghanistan. We need a new stance to fix the problem. You state many issues with Clinton's administration. Truthfully, Clinton was many things I can not say on this site and his wife is worse. Please do not do as my father does and relate all liberals with the Clinton's. Why? Because Dems hate Clinton. Edwards said last night, ""I won Iowa, because I beat Hilliary."" You state Obama would put troops in Pakistan, our greatest ally? Greatest? Try Israel. Besides, the point i was making was, we would have American's people full support to stop terrorism. I do not think Obama will place our troops in Pakistan. If Iran attacked us through terrorists, we would respond to Iran. Yes I did mis quote what you said about Pakistan, I apologize. So what it comes down to is who is best fitted to makes change. As I said above, democrats would have Congress and possibly the rest of the population while republicans would only have themselves. Therefore, dems have more power and can fix problem better",1
e21b1200,Democrats should vote for Barack Obama in the 2008 primaries.,"Thank you for instigating this debate, because I've been wanting to have a debate about Mr. Obama for awhile now. But I'm a little unsure what exactly we're debating. Is it Barack vs. McCain (or Huckabee with divine intervention)? For the purposes of this debate, I will assume it is. If I'm wrong feel free to correct me. Yes, Obama's campaign does rely heavily on slogans. But these slogans have positive, energizing messages. Maybe that's what America needs right now. < > I would strongly agree with you there. Barack does have a unique ability to empower regular citizens with his rhetoric. We can undoubtedly accomplish more with a united front of impassioned citizens. Also, this proves that Barack possesses a unique skill for communication. This is a commodity needed in our president. For international relations, for federal relations, for relations between him and you. But your argument was the Barack does not speak to specifics in his speeches. Barack himself has addressed this in recent days. In fact, just yesterday he delivered a mind-numbingly boring speech about his economic plan. He aims to focus on the following topics: Provide Middle Class Americans Tax Relief Trade Technology, Innovation and Creating Jobs Labor Protect Home Ownership and Crack Down on Mortgage Fraud Address Predatory Credit Card Practices Reform Bankruptcy Laws Work/Family Balance If that's not enough information on economic specifics, then I would be happy to elaborate, but I think this list would silence anyone who felt that Barack is all talk and no work. You think Obama doesn't have a chance against McCain? If you can show me some evidence to that point, I would be glad to address it. But before that, I will show you some evidence of my own, proving Obama can win in November. ""The latest Rasmussen Reports telephone survey shows that Barack Obama (D) currently holds a seven-point advantage over John McCain (R), 46% to 39%. However, if the Democrats nominate Hillary Clinton, McCain will begin the race with a fourteen point advantage, 49% to 35%. %. National polling, updated daily, currently shows the same general trend with Obama currently performing better than Clinton in match-ups with McCain. "" Your last argument had to do with Cubans. Yeah, we all understand that Florida is an important state with a wealth of electoral votes. But it is not necessary to win an election. George W Bush didn't just win Florida to become president. He had to win numerous other states before Florida. Admittedly, Florida does have a large Cuban population. But there are other demographics living in Florida. Cubans aren't the only voters. So even if Florida does go to McCain, Barack can still emerge as the 44th president of the United States.",3
a8232151,Divorcees should be allowed to vote against Gay Marriage Issues.,"My position in this debate is as follows: No matter what a person has done in their past, a person has the unalienable right to vote. In so long as they are a citizen of the country that they are living in. And, as such, may vote for or against Gay Marriage Issues. Man, in the sense of mankind, will make mistakes. This is an inherent part of being a person. Assuming that my opponent lives in the United States of America (USA from here on) then my opponent lives in a country that allowes murderers, rapists, theives, adulterers, and idol worshipers to vote. Interestingly, it also lets liars, prideful people, and those who are quick to anger vote as well. These also spit in the face of God, yet they can vote. Divorcees then may vote. My argument was, sadly, in the realm of legality, not in the realm of ""should."" I will try to keep it in that realm from here on out. Prisoners are eventually allowed out of prison if they have shown that they can be good citizens again. If you've been divorced for 25 years from your first marriage and have had a full and committed relationship since then, are they allowed to vote, or would all divorcees be excluded? What if there have been several broken marriages before a much longer kept one? What about the partner in the marriage that had not been the reason for the divorce? Are they allowed to vote as they have not ""spit in the face of god"" and did not want to break up? All divorced people who are registered to vote should vot I would hate to have ever done a single sin in your belief system. All sins are equal in God's eyes, and as such are equally forgivable. That not withstanding in my argument, I'll get back to the point at hand. I will look at your idea of ""shouldn't vote"". I believe your opinion is that divorcees have no understanding of the reason/ workings of marriage, therefore they should not have the right to vote on this issue. I have no idea onto the workings of a car, yet I have no problem voting on whether or not tax money should be used to help auto manufacturers. Because I do have a say as to what I and my children will have to live through if that tax goes through. Divorcees should vote because they are affecting others no matter what.",3
a72d7d23,Employers should be allowed to discriminate against candidates with regional accents.,"Many organisations wishing to employ customer-facing staff take many factors into consideration, including: physical appearance; personal hygiene; dress sense; manners and etiquette; charisma and, very importantly, accent. Now, all of the above, with the exceptions of his or her physical appearance and accent are, to a great degree, within the personal control of the candidate. Clearly, the candidate's physical appearance is the aspect over which he or she has least control, but if even one is fat one can always lose weight by eating less and exercising more, and if one was unfortunate enough to be born with a face like a dropped pie, one can always opt for cosmetic surgery. Similarly, if one has a strong accent one can have elocution lessons. You see, there are certain jobs and professions where employers would prefer their staff to have neutral, if not refined, accents. These include: Lawyers Bank Managers Doctors TV News Readers Sales Directors of multinational corporations Antiques Experts for auctioneers such as Sotheby's or Bonhams Customer Service Managers for firms such as Rolls-Royce, Sunseeker Yachts and Harrods However, that doesn't mean that there aren't jobs for people with accents. There are lots of firms that would positively welcome front-of-house staff with certain regional accents, for example: Employer – Preferred Accent ---------------------------------- Pizza Hut - Italian Taco-Bell – Mexican Burger King - Bronx KFC - Hillbilly Smoked Salmon and Cream Cheese Bagels R Us – Yiddish Anatolian Ahmed's Kebab House – Turkish Manze's Eels, Pie and Mash Shops - Cockney Hong Kong Garden Chinese Take-Away - Cantonese Harry Ramsden's Famous Fish ‘n' Chip Shops - Yorkshire Royal Taj Curry House – Indian Bistro de Croissants et du Stinking Fromage – French It would be ridiculous if a fitness club advertising for a salesperson had to employ an obese person to avoid discriminating against gravitationally-challenged people and it would be equally ridiculous if De Beers on New York's 5th Avenue had to employee someone who sounded like a clod-hopping country bumpkin to avoid discriminating against people with regionally-compromised enunciation. Therefore, I reaffirm that employers should be allowed to discriminate against candidates with regional accents. Thank you. With many thanks to Superboy777 for accepting this challenge. I accept my opponent's interpretation of my argument that the issue is about being understood, although I was also arguing it is about the social stigmas attached to regional accents, which some would perceive as snobbery and entrenching class stereotypes. Please play the attached YouTube clip of the comedian Bobby Thompson who delivers his act in his native Geordie accent (Geordies are people from Tyneside, an industrial area of North East of England). How much of his act do you understand? I doubt anyone but a Geordie would be able to fully understand him – please let me know if I'm wrong! However, he is speaking perfectly correct English, just with a regional accent that's all. I chose these videos carefully, by the way. Firstly because Bobby Thomson based his character ""The Little Waster"" on my own grandfather (I'm also a waster – I can't help it, it's in my blood!) and, secondly, because I am also a Geordie and used to have a Geordie accent, although I now speak with a standard English accent (which some people unkindly describe as ""posh""). The reason I lost my accent was that I moved to the South of England when I was a child and nobody could understand my Geordie accent there. I, therefore, had to moderate my accent so that they did. Nevertheless, even when I left school I still had a distinct Geordie twang but, through the process of mixing with people who spoke with refined English accents I unconsciously adopted their manner of speech. If I had not done so, I would not have been able to conduct business and would also have suffered from people's automatic assumption that industrial accents are associated with undereducated, working class people. Now, that perception may be unfair, but, nevertheless it exists and businesses whose customers are typically educated and wealthy will want their staff to look and sound as if they come from the same social background, not only so they are understood, but also so the client feels comfortable. That's why firms should be allowed to discriminate against people with regional accents. Thank you.",3
79eba61a,FDR's new deal was good.,"It affected the Poor Poor people were principal victims of the New Deal. Taxes we up from 1.6 billion in 1993 to 5.3 billion in 1940. The most important source of New Deal revenue were excise levied on alcoholic beverages, cigarettes, matches, CANDY, chewing gum, CARS, telephone calls, ELECTRICITY, and even radios necessities for everyday uses. The Treasury Department report acknowledged that excise taxes ""often fell disproportionately on the less affluent."" Consumers had less money to spend, and employers had less money for growth and jobs. It made it more expensive to hire. Employers did not have money to pay employees therefor the jobs could not have gone up! New Deal taxes were major job destroyers durning the 1930's. So first of all despite the fact i just watched you copy and paste everything from the internet besides the late two sentences most of what you say is ridicules. Its their earned money.... they can do with it as they please. That's why its call bill of rights! How would you like it if the government told you, you could only spend your money on vegetables and thats it! Well, just the same they can use their money for whatever they wanted .... if they had money. One thing i know for sure is that whatever pros came out of Roosevelt's FDR act was nothing but luck. All he did was though things out at the people passed act after act and had no idea what the true result would be. Some people would argue that Roosevelt's ""New Deal"" advanced socialistic agendas in the United States. It limited personal freedoms in order to advance the well fare of the nation. Long lasting effects of Roosevelt's ""new deal,"" was that it gave the federal government more power. This in turn resulted in a large number of bureaucratic organizations that waste millions of tax payers money every year. Proving that the government was not thinking of the people but only of itself. Poor people suffered from other high-minded New Deal policies like the Tennessee Valley - Authority monopoly. Its dams flooded thousands of acres. Even if the FDR intended no harm to the poor or the country as a whole it happened and we have to base our judgements toward the government on what really happened as opposed to what they wanted to happen!!!!!!!!",1
4a58eb35,Federal government bailouts of major corporations are just.,"I must affirm the resolution, Resolved: Federal government bailouts of major corporations are just. I would like to offer the following definition for the clarification of this debate round: Just –violating no right or obligation (1) My value will be that of justice, defined as the quality of being just (2). The criterion that I will be upholding my value with is that of government fulfilling its obligations. Observation 1: Government obligations are to establish justice, maintain social order, provide for common defense and promote the general welfare. (3) Contention 1: Bailing out large corporations promotes the common welfare by keeping people in their jobs. A: Without government intervention in the American auto industry, nearly 3 million people would be out of a job. (4, 5) B: Therefore, not bailing out large corporations would lead to substantial job losses and would violate government's obligation to promote general welfare and so would not be just. Contention 2: Bailouts of large corporations are just. A: Just is defined as not violating any right or obligation. B: The obligations of the government are to establish justice, maintain social order, provide for common defense and promote general welfare. C: Affirming does not violate any of these obligations and therefore is just. D: Therefore by not violating any rights or obligations, and so bailouts are just. Citations: 1 - Editorial Staff of the National Reporter System. JUDICIAL AND STATUTORY DEFINITIONS OF WORDS AND PHRASES Second Series, Vol II: Deposition-Lamp. St. Paul: West Publishing Co., 1914. 2 - ""justice."" Merriam-Webster Online Dictionary. 2009. Merriam-Webster Online. 28 February 2009 < http://www.merriam-webster.com... ...;. 3 - Lay, Vicheka. ""The Four Basic Obligations of the Government."" EzineArticles Submission - Submit Your Best Quality Original Articles For Massive Exposure, Ezine Publishers Get 25 Free Article Reprints. 28 Feb. 2009 < http://ezinearticles.com... forfeit",3
88c56e2b,Flag burning should be legal.,"The American flag is a representation of our freedom. Brave men and women everyday set their lives out to protect that flag, and the freedoms that it beholds. Even if you are burning an American flag as a sign as ""rebellion"" or even ""anger,"" there is no right to burn it. For when they burnt those flags, it showed a sign of rebellion towards both America and the government. Since you never rebuttal any of my statements. i will wait for you to go next! Being in the Constitution, ""freedom of speech,"" that only goes to a certain limit. Yes, you can do whatever you want with the American flag, but since the American flag has such a sentimental value to those who protect it, it in dishonoring to our country.",1
